axe,cle,echecs,part_du_total,couverture_relative_moyenne,groundedness_moyenne,questions,taux_echec,plafond_moyen
categorie,FAUX_POSITIF,2,0.0133,0.2941,0.0125,,,
categorie,CORRECT_SANS_EVIDENCE,2,0.0133,0.3189,0.1343,,,
categorie,ECHEC_RETRIEVAL,131,0.8733,0.1118,0.1181,,,
categorie,ECHEC_GENERATION,10,0.0667,0.8376,0.1016,,,
subset,paper_text,73,,,,76.0,0.9605,
subset,paper_tab,72,,,,74.0,0.973,
document,1909.06162.pdf,2,,,,2.0,1.0,1.0
document,1911.07555.pdf,2,,,,2.0,1.0,0.5962
document,1809.01541.pdf,2,,,,2.0,1.0,0.8474
document,1902.09666.pdf,2,,,,2.0,1.0,0.8104
document,1603.04513.pdf,2,,,,2.0,1.0,0.9527
document,1901.09755.pdf,2,,,,2.0,1.0,0.9666
document,1909.03405.pdf,2,,,,2.0,1.0,0.8516
document,2003.12738.pdf,2,,,,2.0,1.0,0.8089
document,1901.03438.pdf,2,,,,2.0,1.0,1.0
document,1908.10449.pdf,2,,,,2.0,1.0,1.0
document,1603.04553.pdf,2,,,,2.0,1.0,1.0
document,1605.03481.pdf,1,,,,1.0,1.0,0.0
document,2001.05493.pdf,1,,,,1.0,1.0,0.0
document,1911.02711.pdf,1,,,,1.0,1.0,0.7753
document,1909.13362.pdf,1,,,,1.0,1.0,1.0
document,1603.00968.pdf,1,,,,1.0,1.0,0.871
document,1910.11235.pdf,1,,,,1.0,1.0,0.5789
document,1707.03764.pdf,1,,,,1.0,1.0,1.0
document,1707.08559.pdf,1,,,,1.0,1.0,0.8667
document,2004.03788.pdf,1,,,,1.0,1.0,0.8333
document,2004.03354.pdf,1,,,,1.0,1.0,0.8235
document,1909.06937.pdf,1,,,,1.0,1.0,0.6667
document,1702.03342.pdf,1,,,,1.0,1.0,0.9333
document,1904.03288.pdf,1,,,,1.0,1.0,0.8
document,1611.00514.pdf,1,,,,1.0,1.0,0.7438
document,1911.02821.pdf,1,,,,1.0,1.0,0.7294
document,1905.11901.pdf,1,,,,1.0,1.0,0.8439
document,1809.09795.pdf,1,,,,1.0,1.0,0.7841
document,2003.03044.pdf,1,,,,1.0,1.0,0.75
document,1909.00430.pdf,1,,,,1.0,1.0,0.9405
